Seed,Listed Name,Team,Grade,Record,Scoring,Weight,Last Name,First Name,Name,Wgt-Seed,Full Listing,Points,,,,,,,,,,,
1,"Lilledahl, Luke",Penn State,,20-0,Yes,125,Lilledahl,Luke,Luke Lilledahl,125lbs-1,#1 Luke Lilledahl (PSU) 20-0,0,,,,,,,,,,,
2,"Ventresca, Eddie",Virginia Tech,,19-2,Yes,125,Ventresca,Eddie,Eddie Ventresca,125lbs-2,#2 Eddie Ventresca (VT) 19-2,0,,,,,,,,,,,
3,"Bouzakis, Nic",Ohio State,,16-2,Yes,125,Bouzakis,Nic,Nic Bouzakis,125lbs-3,#3 Nic Bouzakis (OHST) 16-2,0,,,,,,,,,,,
4,"Seymour, Sheldon",Lehigh,,19-0,Yes,125,Seymour,Sheldon,Sheldon Seymour,125lbs-4,#4 Sheldon Seymour (LEH) 19-0,0,,,,,,,,,,,
5,"Spratley, Troy",Oklahoma State,,16-3,Yes,125,Spratley,Troy,Troy Spratley,125lbs-5,#5 Troy Spratley (OKST) 16-3,0,,,,,,,,,,,
6,"Volk, Jore",Minnesota,,22-5,Yes,125,Volk,Jore,Jore Volk,125lbs-6,#6 Jore Volk (MINN) 22-5,0,,,,,,,,,,,
7,"Provo, Nico",Stanford,,13-5,Yes,125,Provo,Nico,Nico Provo,125lbs-7,#7 Nico Provo (STAN) 13-5,0,,,,,,,,,,,
8,"Peterson, Dean",Iowa,,14-6,Yes,125,Peterson,Dean,Dean Peterson,125lbs-8,#8 Dean Peterson (IOWA) 14-6,0,,,,,,,,,,,
9,"Renteria, Maximo",Oregon State,,20-3,Yes,125,Renteria,Maximo,Maximo Renteria,125lbs-9,#9 Maximo Renteria (ORST) 20-3,0,,,,,,,,,,,
10,"McGowan, Marc-Anthony",Princeton,,15-6,Yes,125,McGowan,Marc-Anthony,Marc-Anthony McGowan,125lbs-10,#10 Marc-Anthony McGowan (PRIN) 15-6,0,,,,,,,,,,,
11,"Klinsky, Tyler",Rider,,26-3,Yes,125,Klinsky,Tyler,Tyler Klinsky,125lbs-11,#11 Tyler Klinsky (RID) 26-3,0,,,,,,,,,,,
12,"Robinson, Vincent",NC State,,15-4,Yes,125,Robinson,Vincent,Vincent Robinson,125lbs-12,#12 Vincent Robinson (NCST) 15-4,0,,,,,,,,,,,
13,"Poulin, Stevo",Iowa State,,15-7,Yes,125,Poulin,Stevo,Stevo Poulin,125lbs-13,#13 Stevo Poulin (ISU) 15-7,0,,,,,,,,,,,
14,"Moran, Jacob",Indiana,,17-5,Yes,125,Moran,Jacob,Jacob Moran,125lbs-14,#14 Jacob Moran (IND) 17-5,0,,,,,,,,,,,
15,"Holeman, Koda",Cal Poly,,19-5,Yes,125,Holeman,Koda,Koda Holeman,125lbs-15,#15 Koda Holeman (CP) 19-5,0,,,,,,,,,,,
16,"Witt, Ezekiel",North Dakota State,,23-11,Yes,125,Witt,Ezekiel,Ezekiel Witt,125lbs-16,#16 Ezekiel Witt (NDSU) 23-11,0,,,,,,,,,,,
17,"Strickenberger, Jett",West Virginia,,19-7,Yes,125,Strickenberger,Jett,Jett Strickenberger,125lbs-17,#17 Jett Strickenberger (WVU) 19-7,0,,,,,,,,,,,
18,"Moore, Spencer",Illinois,,17-8,Yes,125,Moore,Spencer,Spencer Moore,125lbs-18,#18 Spencer Moore (ILL) 17-8,0,,,,,,,,,,,
19,"Terukina, Kysen",North Carolina,,15-6,Yes,125,Terukina,Kysen,Kysen Terukina,125lbs-19,#19 Kysen Terukina (UNC) 15-6,0,,,,,,,,,,,
20,"Sotelo, Diego",Michigan,,13-12,Yes,125,Sotelo,Diego,Diego Sotelo,125lbs-20,#20 Diego Sotelo (MICH) 13-12,0,,,,,,,,,,,
21,"Hendriksen, Conrad",Oklahoma,,15-12,Yes,125,Hendriksen,Conrad,Conrad Hendriksen,125lbs-21,#21 Conrad Hendriksen (OU) 15-12,0,,,,,,,,,,,
22,"Motyka, Davis",Penn,,17-5,Yes,125,Motyka,Davis,Davis Motyka,125lbs-22,#22 Davis Motyka (PENN) 17-5,0,,,,,,,,,,,
23,"Rivera, Nicolar",Wisconsin,,18-7,Yes,125,Rivera,Nicolar,Nicolar Rivera,125lbs-23,#23 Nicolar Rivera (WISC) 18-7,0,,,,,,,,,,,
24,"Smith, Ayden",Rutgers,,16-11,Yes,125,Smith,Ayden,Ayden Smith,125lbs-24,#24 Ayden Smith (RUT) 16-11,0,,,,,,,,,,,
